Title,ASIN,Stars,Review,Price
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,5.0,"ماشاء الله جوده اعلي من السعر

العيب بس ان نسبه الشحن مش بتظهر
والبوكس عليه لمبه واحده بس

حلوه جدا ف المكالمات
جوده الصوت الله واكبر
حلو جدا ف البطاريه

البوكس بيتجرح بسرعه ف لازم كڤر",825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,5.0,بصراحه جامده اوي انصح بيها,825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,4.0,"السماعة صوتها فوق سعرها بمراحل وعالى ونقى فى نفس الوقت.
وجودة ال case بتاعتها عالية .
بس خلى بالك لما تشتريها خد اللى بائع امازون علشان جبت وحدة قبلها مش من امازون وكانت مش اصليه ومش بتربط على الابلكيشن بتاعها وكان فيها زنة + غالبا مش هتلاقى عليها ورقة الضمان السنة ونص بتاعها ف جيبها من بائع امازون افضل وهتلاقى عليها الضمان واصلية.
التأخير فى الالعاب ملحوظ حتى لو شغلت عليها وضع الالعاب ف متعتمدش عليها فى الالعاب.
الابلكيشن بتاعها جامد وفيه اوضاع كتير وتقدر تعمل الوضع اللى انت عايزه .",825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,1.0,"يوم 3 يناير 2024 اشتريت سماعة soundcore R50i من امازون مصر والمفروض أن عليها ضمان 18 شهر والسماعة شغاله كويس

المهم في اخر 10 ايام بدأت أحس أن في طرف من السماعتين صوته بقى واطي بشكل ملحوظ فكأي عميل ليه حق بيتوجة للوكيل طول ما هو في الضمان كلمت الرقم الموضح في المانيول فقالي أني هكلم وكيل شركة انكر في مصر وهي شركة اسمها اتصال ورقمم موجود على علبة السماعة من بره في ستيكر بأسمهم دورت على الاستيكر لكن للأسف مش موجود فوضحت المعلومة لخدمة العملاء فقالي في الحالة دي لازم اتواصل مع امازون مصر بصفتهم البائع

اتواصلت مع امازون فكان الرد أن فعلا شركة اتصال هي الوكيل والضامن واني هتوجه ليهم بالفاتورة الضريبيه اللي من امازون وفي حاله أن تك الرفض لازم يكون في تقرير بده وادوني رقم الوكيل

كلمت شركة اتصال فكان الرد أن المنتج بضمان دولي وخارج الضمان المحلي طلامة مفيش على العلبه ستيكر اتصال وان امازون مصر عارفين المعلومة دي فطلبت تقرير بده رفضوا وقالوا مفيش تقرير عندنا وارجع لأمازون

رجعت كلمت امازون فكان الرد أن خلاص مفيش مشكله نعمل طلب استرجاع بس لازم ناخد الموافقة من الإدارة وفعلا موظفة خدمة العملاء غابت ورجعت تقولي للأسف الاداره رفضت لأن ضمان امازون سنه لو انا كنت اتكلمت قبل يوم 3 يناير 2025 كان ممكن لكن دلوقتي لا

فوضحت ليها أن لولا أن حصلت المشكلة مكنتش هعرف المعلومة واني المفروض شاري المنتج منهم و مكتوب على صفحتهم أن ضمانه 18 شهر وان مش مذكور نهائي ان ضمانة دولي فقالتلي بس حضرتك تقيم العملاء بيقول أن مفيش ضمان محلي

فطبعا ردي اللي هو ازاي يعني انا المفروض باخد معلومات المنتج من البيانات اللي على الصفحة مش من آراء العملاء ومعنى كلامها أن العملاء كلهم لبسوا في المنتج زي واكتشفوا المشكله بعد البيع فبتالي انا كمان لازم اقبل زيهم

فقالتلي الحل حاليا أني اروح للضمان اللي هو شركة اتصال ويدوني تقرير أنهم مش هيقبلوا المنتج وتبعتهولنا وده مش اكيد هيحل المشكله بس هي محاوله ومفيش اي حل تاني عندهم

والكلام ده ملوش غير تفسير واحد وهو ان ده غش تجاري انا شاري المفروض من مكان محترم وللأسف المفروض ليه مصدقيه والمنتج نفسة من شركة معروفة وليها ضمان وسعر البيع هو هو السعر الطبيعي في السوق",825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,5.0,"ممتاز و فحصته اصلي ومع البرنامج جميل بس هو كبير في الودن سنه فلو معاك فلوس هات النسخه الاعلي اللي هي
Anker soundcore R50i NC
بس هو ممتاز جدا",825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,5.0,هي سماعة جميلة جدا صوت ومايك مشاء الله وكمان فيها ميزة بعتبرها روعة هي خفية الوزن وثابتة في الاذن عندما تختار السلكون المناسب لمقاس الاذن هيا تستحق اكثر من ثمنها وكما شكلها جيد في الاذن شكرا التاجر وشكرا امازون,825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,3.0,"للعلم السماعة اللى جاتى مش عليها ضمان اتصال
الله اعلم بالمصدر
فيها عيب بسيط لسة هشوف هتغاضى عنه او لا
وماكنتش مشحونة سيبتها تشحن .. بتسخن
ولسة هجرب البطارية
بس الحاجة اللى لازم تعرفها انها من غير ضمان اتصال ودا مش جيد .. غير التاجر",825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,5.0,"لسا شاريها من حوالي ساعتين وجااامدة وصوتها حلو وعلى ما اعتقد اصلية ""لو حصل حاجة بإذن الله هاجي اغير التعليق. جاري التجريب""",825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,4.0,صوته جميل جدا مقابل سعره لكن عيبه الوحيد ان المايك بتاعه مش افضل حاجه,825
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",B0C9MNT48D,4.0,كويسة جدا بس مفيش عزل فى المكالمات,825
