Title,Link,ASIN,Price,Rating,Num_Reviews
"Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black",https://www.amazon.eg/-/en/Soundcore-R50i-Wireless-Bluetooth-Resistant/dp/B0C9MNT48D/ref=sr_1_1?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-1&xpid=ZsUd_BzzbA__g,B0C9MNT48D,825,3.9,2K
"Soundcore By Anker R50i NC True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 45H Playtime, IP54, AI Clear Calls with 4 Mics, 22 Preset EQs via App-Black, 18 Months Warranty",https://www.amazon.eg/-/en/Soundcore-Anker-Wireless-Bluetooth-App-Black/dp/B0D6BPY3SC/ref=sr_1_2?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-2&xpid=ZsUd_BzzbA__g,B0D6BPY3SC,"1,264",4.0,479
"Oraimo FreePods 3C (OEB-E104DC), ENC Calling Noise Cancellation, powerful bass 4 mics, Long Playtime True Wireless Earbuds IPX5-Water Resistant, Via App – Black (1 Year Warranty)",https://www.amazon.eg/-/en/Oraimo-OEB-E104DC-Cancellation-IPX5-Water-Resistant/dp/B0C8TGCVL1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-3&xpid=ZsUd_BzzbA__g,B0C8TGCVL1,899,3.8,734
"AirPods Pro 2 Plus Bluetooth Headset with Active Noise Cancelling Wireless Charging Case (White, True Wireless) in Ear",https://www.amazon.eg/-/en/AirPods-Bluetooth-Cancelling-Wireless-Charging/dp/B0CVVBP6R8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-4&xpid=ZsUd_BzzbA__g,B0CVVBP6R8,320,2.5,383
"Xiaomi Wireless Earphones, Redmi buds 6 Play, 36 Hours Playtime, AI Call Noise Reduction, Ultra Lightweight, Compatible with Google Fast Pair, Fast Charging, Black |6 month manufacturer warranty",https://www.amazon.eg/-/en/Earphones-Reduction-Lightweight-Compatible-manufacturer/dp/B0DBHRWRKC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-5&xpid=ZsUd_BzzbA__g,B0DBHRWRKC,665,3.9,23.7K
"HUAWEI FreeBuds SE 2, 40-Hour Battery Life, Compact and Comfortable to Grip, 3 Hours of Music Playback on a 10-Minute Charge, IP54 Dust & Splash Resistance, Isle Blue",https://www.amazon.eg/-/en/HUAWEI-Comfortable-10-Minute-Resistance-Blue/dp/B0CDM94MJL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-6&xpid=ZsUd_BzzbA__g,B0CDM94MJL,"1,087",4.4,9.5K
"ANKER Soundcore Q11i Wireless Headphones, 40mm Dynamic DriverHi-Res Audio, One-Touch Bass Boost, 60-Hour Playtime, Detachable Ear Cushions, Bluetooth V5.3, Dark Gray | 18 Months Warranty",https://www.amazon.eg/-/en/Soundcore-Headphones-DriverHi-Res-One-Touch-Detachable/dp/B0DJW5G283/ref=sr_1_7?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-7&xpid=ZsUd_BzzbA__g,B0DJW5G283,"1,700",4.6,1.1K
"HUAWEI FreeBuds 6i, Intelligent Dynamic ANC 3.0, Punchy Bass, Fast Charging, Longer Listening, Distraction-Free Calling, IP54 Sweat- and Water-resistance, Dual-Device Connection, White",https://www.amazon.eg/-/en/HUAWEI-Intelligent-Distraction-Free-Water-resistance-Dual-Device/dp/B0D35JN2JH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-8&xpid=ZsUd_BzzbA__g,B0D35JN2JH,"2,662",4.4,341
"Anker soundcore Liberty 4 NC Wireless, 98.5% Noise Reduction, Adaptive Noise Cancelling to Ears 50H Battery, Wireless Charging, Bluetooth 5.3+ 18 Months Local Warranty - Black",https://www.amazon.eg/-/en/Anker-soundcore-Reduction-Cancelling-Bluetooth/dp/B0BZV4QFP8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-9&xpid=ZsUd_BzzbA__g,B0BZV4QFP8,"2,550",3.9,10.4K
Oraimo OTW-323 SpaceBuds Neo Premium Earbuds Immersive Audio for Dynamic Lifestyles - Speed Black,https://www.amazon.eg/-/en/Oraimo-OTW-323-SpaceBuds-Immersive-Lifestyles/dp/B0F7FVY8FS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.yl3m33qmQFV_Z77Dmqij9_7uQe_5lhz7NiS_9TFIKZRCSuVxPdvMv6ShAm-aa9naT7cCR58Wo68oXq5yr9QnLPwRhc9yTgqOn-cORIJbNgrf8DUCwMwMN9eMbdwrQUVHTjQ2Na6dVsz-Bk-QHH--dx9FVxqs8H79axD41MFWi7AP_I5LisPTKAJv084wrXzUoc8B5_yG5BQR_sQus78NQdwKeBU_82yTvAUcVS4T965MPB6aq6-l_hHmslnrgQYA-2twJcsWm1X6A8M3BZuE2WugAAvSAE7QurSJSkB_fA4.WT7FRRx2kB9LdqLtreJB_6CngMk35iudyLdiHGqzMG8&dib_tag=se&qid=1759817080&s=electronics&sr=1-10&xpid=ZsUd_BzzbA__g,B0F7FVY8FS,564,3.9,2.8K
