comment,region,city,classification
الخدمة كانت ممتازة والسلع كلها موجودة النهاردة.,Cairo,Nasr City,Positive
الأسعار أغلى من اللي متوقعينه وخارج الميزانية.,Cairo,Heliopolis,Negative
استلمت حصتي زي كل شهر بدون أي تغيير.,Cairo,Maadi,Neutral
التاجر محترم وبيتعامل بذوق قوي مع الناس.,Cairo,Downtown Cairo,Positive
التاجر بيتعامل بحدة ومش بيسمع الشكاوي خالص.,Cairo,Zamalek,Negative
الفرع كان هادي والانتظار كان معقول.,Giza,Dokki,Neutral
الأسعار مناسبة جدا والوزن مظبوط في كل كيس.,Giza,Mohandessin,Positive
السلع الأساسية خلصت بدري خالص قبل ما نوصل.,Giza,6th of October City,Negative
بعض السلع موجودة والباقي لسه مجاش.,Giza,Haram,Neutral
المكان نظيف ومنظم والموظفين بشوشين.,Giza,Faisal,Positive
العيش ناشف والوزن ناقص في العيشة.,Alexandria,Smouha,Negative
الأسعار ثابتة زي ما هي من الشهر اللي فات.,Alexandria,Raml Station,Neutral
استلمت التموين بسرعة ومن غير ما استنى كتير.,Alexandria,Sidi Gaber,Positive
الكاشير بطئ جدا والطابور كان طويل قوي.,Alexandria,Miami,Negative
مفيش حاجة جديدة اتضافت في المنفذ هذا الشهر.,Alexandria,Montaza,Neutral
كل السلع طازة وجودتها عالية بجد.,Aswan,Aswan City,Positive
لقيت منتجات منتهية الصلاحية على الرف ومحدش بيهتم.,Aswan,Kom Ombo,Negative
الطابور متوسط والتموين خلص بسرعة عادية.,Aswan,Edfu,Neutral
الموظف ساعدني أختار أحسن المنتجات وشرح التفاصيل.,Luxor,Luxor City,Positive
الزحمة رهيبة ومفيش أي تنظيم في الدخول.,Luxor,Karnak,Negative
المنفذ فتح في معاده العادي واتقفل في الوقت المحدد.,Luxor,West Bank,Neutral
الشهر ده الكميات كفاية وكل حاجة متوفرة.,Sohag,Sohag City,Positive
الكميات اللي بناخدها أقل من المفروض بكتير.,Sohag,Akhmim,Negative
الكميات مناسبة لكن الجودة عادية ومعتادة.,Sohag,Girga,Neutral
شكرا على الاهتمام بجودة الزيت والسكر كل مرة.,Qena,Qena City,Positive
السكر متوفر بس بجودة وحشة ومش قابل للاستخدام.,Qena,Nag Hammadi,Negative
الموظف تعامل بشكل رسمي من غير زيادة.,Qena,Dishna,Neutral
التعامل في المنفذ كان راقي ومريح للأسر.,Beheira,Damanhur,Positive
التاجر رفض يرجع سلعة بايظة ورفض يسمعنا.,Beheira,Kafr El Dawwar,Negative
الزيارة عدت بشكل عادي خالص زي كل مرة.,Beheira,Rosetta,Neutral
لقيت كل اللي محتاجاه بأسعار معقولة جدا.,Minya,Minya City,Positive
المنفذ قفل بدري ومحدش بلغ الناس المنتظرة.,Minya,Mallawi,Negative
استلمنا جزء من الحصة والباقي هيوصل لاحقا.,Minya,Samalut,Neutral
الفرع ده دايما محافظ على النظام والنظافة.,Asyut,Asyut City,Positive
اللحوم سعرها عالي ومفيش بدائل متاحة.,Asyut,Abnub,Negative
التوزيع ماشي حسب الدور والناس ملتزمة.,Asyut,Manfalut,Neutral
المرتجعات بتتقبل بسهولة والتاجر متعاون أوي.,Faiyum,Faiyum City,Positive
الخدمة سيئة والموظفين مش متعاونين مع كبار السن.,Faiyum,Sinnuris,Negative
مستوى النظافة متوسط زي المعتاد.,Faiyum,Ibishway,Neutral
الخضار والفواكه حالتها ممتازة النهارده.,Suez,Suez City,Positive
المكان مش نضيف وريحت التخزين مزعجة جدا.,Suez,Arbaeen,Negative
مافيش تأخير في التسليم ولا سرعة كبيرة.,Suez,Ganayen,Neutral
اللحوم متوفرة وجودتها مطمئنة جدا.,Ismailia,Ismailia City,Positive
فيه نقص كبير في زيت التموين ومافيش تفسير.,Ismailia,Fayed,Negative
المنفذ متاح لكن الخيارات محدودة شوية.,Sharqia,Zagazig,Neutral
الخدمة كانت ممتازة والسلع كلها موجودة النهارده.,Sharqia,Belha,Positive
الفرع كان فوضى والمدير مش موجود.,Dakahlia,Mansoura,Negative
الحضور كان متوسط والجو عادي.,Dakahlia,Mit Ghamr,Neutral
السلع الجديدة لذيذة والأسعار معقولة.,Gharbia,Tanta,Positive
الأرفف فاضية ومعظم الطلبات مش متاحة.,Gharbia,El Mahalla El Kubra,Negative
لقيت بعض النواقص لكن فيه بدائل بسيطة.,Damietta,Damietta City,Neutral
التعامل كان رائع وخدمي للناس البسيطة.,Damietta,Ras El Bar,Positive
في تأخير كبير في صرف الزيت.,Beni Suef,Beni Suef City,Negative
الزيارة انتهت بسرعة من غير أحداث مهمة.,Beni Suef,El Wasta,Neutral
الفرع وفر شنط إضافية للعائلات الكبيرة.,Kafr El Sheikh,Kafr El Sheikh City,Positive
الميزان ظهر أقل من الكمية اللي دفعنا فيها.,Kafr El Sheikh,Desouk,Negative
المنفذ شغال بنفس النظام المعتاد.,Red Sea,Hurghada,Neutral
النهارده كانت تجربة شراء مريحة جدا.,Red Sea,El Quseir,Positive
المنطقة دي محتاجة رقابة أكتر على المنفذ.,Matruh,Marsa Matruh,Negative
التسليم تم في الوقت اللي اتحدد قبل كده.,Matruh,Siwa,Neutral
التاجر اهتم بكل شكوى واتصرف بسرعة.,Cairo,Nasr City,Positive
الطابور كان خارج الشارع ومافيش ظل.,Cairo,Heliopolis,Negative
الدور اتحرك بثبات من غير استعجال.,Cairo,Maadi,Neutral
السلع التموينية متوفرة بأوزان مضبوطة جدا.,Cairo,Downtown Cairo,Positive
التاجر اتأخر في فتح المنفذ بدون اعتذار.,Cairo,Zamalek,Negative
تم تسجيل البيانات كالمعتاد في الملفات.,Giza,Dokki,Neutral
المكان وفر أماكن انتظار مريحة.,Giza,Mohandessin,Positive
السلع ناقصة والموردين اتأخروا جدا.,Giza,6th of October City,Negative
المنفذ وفر جزء من الطلب والباقي لسه.,Giza,Haram,Neutral
الموظفين كانوا بيضحكوا وبيساعدوا الناس.,Giza,Faisal,Positive
الموظف كان عصبي وبيزعق للناس.,Alexandria,Smouha,Negative
درجة الحرارة كانت عالية بس المراوح شغالة.,Alexandria,Raml Station,Neutral
الجودة ثابتة وكل المنتجات شكلها ممتاز.,Alexandria,Sidi Gaber,Positive
الأسعار المعلقة غير اللي اتدفعت فعليا.,Alexandria,Miami,Negative
العملية كلها استغرقت حوالي نص ساعة.,Alexandria,Montaza,Neutral
المنفذ قدم عروض حلوة على السلع الإضافية.,Aswan,Aswan City,Positive
المنفذ مش مهيأ لذوي الاحتياجات الخاصة.,Aswan,Kom Ombo,Negative
الحضور كان متوسط والجو عادي.,Aswan,Edfu,Neutral
الزيت والسكر اتسلموا في أكياس نظيفة ومحكمة.,Luxor,Luxor City,Positive
البهارات ريحتها مش طبيعية خالص.,Luxor,Karnak,Negative
تم التأكد من البطاقة الشخصية كالعادة.,Luxor,West Bank,Neutral
اللحوم المجمدة طعمها حلو وسعرها مناسب.,Sohag,Sohag City,Positive
في نقص مزمن في لبن البودرة.,Sohag,Akhmim,Negative
تم مراجعة الاسم في السجل الورقي.,Sohag,Girga,Neutral
استلمت كل حاجة ومعايا فاتورة واضحة.,Qena,Qena City,Positive
الشكاوي بتتاخد ومافيش رد عليها.,Qena,Nag Hammadi,Negative
المنفذ شغال بنظام الأرقام الدور.,Qena,Dishna,Neutral
في تواصل مستمر مع المواطنين للاطمئنان.,Beheira,Damanhur,Positive
التاجر بيقصر في توزيع اللحوم للفقراء.,Beheira,Kafr El Dawwar,Negative
تم ختم الكارت بعد الاستلام مباشرة.,Beheira,Rosetta,Neutral
الخدمة كانت ممتازة والسلع موجودة من بدري.,Minya,Minya City,Positive
الأسعار أغلى من اللي متوقعينه وخارج الميزانية.,Minya,Mallawi,Negative
استلمت حصتي زي كل شهر بدون أي تغيير.,Minya,Samalut,Neutral
التاجر محترم وبيتعامل بذوق قوي مع الناس.,Asyut,Asyut City,Positive
التاجر بيتعامل بحدة ومش بيسمع الشكاوي خالص.,Asyut,Abnub,Negative
الفرع كان هادي والانتظار كان معقول.,Asyut,Manfalut,Neutral
الأسعار مناسبة جدا والوزن مظبوط في كل كيس.,Faiyum,Faiyum City,Positive
السلع الأساسية خلصت بدري خالص قبل ما نوصل.,Faiyum,Sinnuris,Negative
بعض السلع موجودة والباقي لسه مجاش.,Faiyum,Ibishway,Neutral
المكان نظيف ومنظم والموظفين بشوشين.,Suez,Suez City,Positive
العيش ناشف والوزن ناقص في العيشة.,Suez,Arbaeen,Negative
الأسعار ثابتة زي ما هي من الشهر اللي فات.,Suez,Ganayen,Neutral
استلمت التموين بسرعة ومن غير ما استنى كتير.,Ismailia,Ismailia City,Positive
الكاشير بطئ جدا والطابور كان طويل قوي.,Ismailia,Fayed,Negative
مفيش حاجة جديدة اتضافت في المنفذ هذا الشهر.,Sharqia,Zagazig,Neutral
كل السلع طازة وجودتها عالية بجد.,Sharqia,Belha,Positive
لقيت منتجات منتهية الصلاحية على الرف ومحدش بيهتم.,Dakahlia,Mansoura,Negative
الطابور متوسط والتموين خلص بسرعة عادية.,Dakahlia,Mit Ghamr,Neutral
الموظف ساعدني أختار أحسن المنتجات وشرح التفاصيل.,Gharbia,Tanta,Positive
الزحمة رهيبة ومفيش أي تنظيم في الدخول.,Gharbia,El Mahalla El Kubra,Negative
المنفذ فتح في معاده العادي واتقفل في الوقت المحدد.,Damietta,Damietta City,Neutral
الشهر ده الكميات كفاية وكل حاجة متوفرة.,Damietta,Ras El Bar,Positive
الكميات اللي بناخدها أقل من المفروض بكتير.,Beni Suef,Beni Suef City,Negative
الكميات مناسبة لكن الجودة عادية ومعتادة.,Beni Suef,El Wasta,Neutral
