stars,review,district,governorate
2,"أنا زعلان جدا على خدمت التموين دي, لأن المفروض أنها بتقدم الدعم للفقراء ومحدودي الدخل, لكن للأسف مش شايف أي تحسن ولا حتى تغيير بسيط! كل مرة بنحصل على حصة التموينية بيكون فيها نقص في الحاجات الأساسية, وكمان الأسعار مرتفعة أوي لما نروح نشتريها من خارج البطاقة. أتمنى لو الدولة تفكر فعلا في الناس الغلابة وتعالجها صح, بدل ما تبقوا بتبهدلونا أكتر وأكتر.",جمعية مطبخ الحياة,بورسعيد
2,"أنا مش فاهم حاجة, ممكن تشرحلي إزاي أعمل كده?! لو سمحت قول لي ازاي أكتب تعليقا على خدمة التموين في المحافظة دي واللهجة اللي عايز أتكلم بيها إيه? وكمان لازم أقول أيه في الرد ولا أسالة ولا أحكي قصة؟! ده كتير عليا جدا!! أرجوك ساعدني عشان أقدر أفيد الناس هنا وأعمل حاجة حلوة للبلد. شكرا جزيلا لك مقدما.",مكتب الحياة,السويس
2,"أنا سعيد جدا أني حصلت على فرصة لكتابة تعليقي عن خدمة التموين في المحافظة, لكن بصراحة مش راضي عنها. ده لأن كل شهر بنروح للمطعم ونطلب حاجاتنا ومش بيوصلوا لنا حتى بعد أسبوعين. وده يعني أننا لازم نبقى واقفين طول اليوم عشان ناخد حقنا اللي المفروض يكون علينا. وأنا أعرف ناس كتير بتحب الأكل وبتحاول توفره لنفسها وعيالها, بس مع الوضع الحالي مفيش فايده. أتمنى أنهم ينتبهوا للقضايا دي ويعدلوها علشان نقدر",الجمعية المصرية لتغذية الأسرة,البحيرة
4,"أهلا وسهلا يا شباب, أنا جايبة موضوع مهم جدا بالنسبة للمصريين وهو التموين, اللي هو نظام توزيع الطعام على الأسر الفقيرة ومحدودة الدخل. بصراحة, هذا النظام مش بس يساعد الناس اللي محتاجين, لكن كمان بيخلق فرص عمل للناس اللي عايزه يشتغل. وعلى الرغم من الصعوبات والتحديات اللي ممكن تواجه العاملين فيه, إلا أنه يبقى خطوة مهمة نحو تحسين حياة الفقراء والمهمشين في مصر. شكرا لك.",جمعية مطبخ التحرير,القاهرة
2,أنا مش فاهم حاجة! إيه اللي بيحصل?,جمعية الغذاء الصحي,الإسكندرية
1,"أنا مش سعيد أوي بالخدمة دي, ده حتى لو كانت فاضية خالص! على الأقل كان ممكن يكونوا حيطلعوا لنا حاجات حلوة بدل ما نروح نشتريها بفلوسنا الخاصة. يعني بصراحة, هما بيكدبوا علينا ويضحكو عليا وعلى الناس اللي زيي. ولو كنت مكانهم مكنتش هعمل كده أبدا.",المكتبة الثقافية,المنوفية
3,"أنا سعيد جدا بتقديم هذا الرد على طلبكم! يرجى ملاحظة أنني برنامج ذكاء اصطناعي ولا أستطيع الكتابة بشكل مباشر, ولكن يمكنني توليد نص يشبه تعليقات المستخدم البشري بناء على البيانات التي أملكها حول المواضيع الشائعة والأسئلة المتكررة وغيرها من المعلومات ذات الصلة بالموضوع الذي تطلبه. لذا, إليك مثال على النص الذي قد ينتج عنه رداً على سؤالك: أنا مش راضي تماما عن خدمات التموين هنا في مرسى مطروح. رغم أننا بنحاول نستمتع بوقتنا هناك ونقدر نقدر المجهود اللي بيتم",شركة مروة للطعام,مطروح
5,"أنا سعيد جدا لخدمة التموين! إنها فعلا رائعة, وأقدر المجهود الكبير اللي بيتموه عشان يوصلوا لكل الناس. شكرا جزيلا على كل شيء, وأتمنى إن شاء الله يستمر الأمر ده للأبد. تحياتي للجميع!",مكتب جمعية نور,القاهرة
4,"أنا مش عارف أتكلم كويس جدا عشان أكتب تعليق, بس حبيت أقول إن خدمات التموين في المحافظة بتتحسن فعلا! ربنا يبارك لأهالي البحيرة ويوفقهم دايما.",اتحاد التموين البحري في المحافظة,البحيرة
2,"أنا مش راضيا على مستوى الخدمة, لأن الأكل اللي بيقدموه دايما مهروس وبيلزق في إيدينا, والخدمة بطيء أوي ومش بتحب تساعدنا خالص. أتخيل لو الحكومة تعمل بجد كده وتصححنا للأكل ده هنعرف نأكل صح ونشرب ميه نظيفة ونعيش حياة كريمة.",مكتب التموين,القاهرة
3,"أهلا وسهلا يا شباب, أنا عايز أقولكم على حاجة مش هيحصل معايا نفس اللي بيحصلي مع باقي الناس. احنا بنشتغل معانا النهاردة ونروح البيت بالليل وبنشوف الخدمتين بتوعنا مش كويسة خالص. إحنا بنحتاج فعلا لخدمة توصيل الطلبات أحسن من دي, وبندفع فلوس كتير جدا علشان نستلم طلباتنا, ولسه بنشكوا عشان يوصلولها لحد باب البيت. ده كل اللي هقول عليه دلوقتي ومش عاوزين نتناقش أكتر من",اتحاد الغذاء الصحي الإسكندرية,الإسكندرية
5,"السلام عليكم يا شباب, أنا جاي أكتب تعليق على صفحة فيسبوك عن خدمات التموين في بورسعيد. بصراحة, الخدمات بتكون ممتازة جدا وممتازة خمس نجوم! شكرا جزيلا ليكم جميعا على الجهد المبذول لتوفير الحاجات اللي بنحتاجها. تحياتي للجميع.",مكتب زهراء التموين,بورسعيد
