stars,review,district,governorate
4,"أنا سعيد جدا بخدمة التوصيل, لكن أحيانا يكون الطلب متأخر شوية ويمكن يتحسنوا.",مكتب السعادة,الدقهلية
2,"أنا مش عارفة أقول إيه, لكن أعتقد أنه لازم يتحسنوا أكتر في التوزيع عشان نقدر نستفيد منهم حقنا.",مكتب الأعمال الغذائية,أسيوط
4,"أنا سعيد جدا بتقديم خدمات التموين الممتازة التي تقدمها الحكومة المصرية لمواطنيها في جميع أنحاء البلاد. ولكن, في بعض الأحيان, يمكن تحسين جودة الخدمات المقدمة في محافظة مرسى مطروح مثل توصيل الطعام بشكل أسرع وأكثر كفاءة لضمان رضا العملاء الكامل. شكرا لكم على اهتمامكم ودعمكم المستمر! #خدمة_التموين_الممتازه #تحسينات_في_خدماتنا",مكتب زهران للضيافة,مطروح
1,"أنا مش عارف أتكلم بصراحة مع الناس اللي بتقدم لنا الخدمة, ولكن للأسف هي بقت سيئة أوي! بنشوف مشاكل كتير كل يوم وكل مرة, وبنتعذب عشان ناكل ونطعم عيالنا. أتمنى أنهم يعرفوا إنهم لازم يكونوا أحسن من كده علشان نقدر نحافظ على بلدنا الجميلة دي.",جمعية الشروق,السويس
5,"أنا سعيد جدا بالخدمات اللي بتقدمها الحكومة على الإنترنت, خاصة خدمات التموين. بفضلهم, الناس مش لازم تروح كتير عشان توصل للخدمات الحكومية. الخدمات بتبقى سهلة وبسيطة ولذيذة كمان! شكرا للحكومة على كل الجهود اللي بتدعمنا بيها.",مكتب زهراء,الدقهلية
3,"أنا سعيد لتقديم أي مساعدة تحتاجها, ولكن يبدو أنك قد نسيت تقديم سؤالك أو طلبك. هل يمكنك توضيح ذلك حتى أتمكن من المساعدة بشكل أفضل? شكرا لك!",جمعية التعاون الغذائي,البحيرة
3,"أنا مش فاهم حاجة, ممكن توضحلي?",جمعية طيبة للإطعام,سوهاج
5,"أنا سعيد جدا بخدمة التموين في المنوفية! إنها فعلا رائعة, مش هقول لك إيه تاني غير شكرا جزيلا يا رب تستمر على هذا المستوى العالي.",مكتب التعاون الغذائي بالمنوفية,المنوفية
4,"أنا سعيد جدا بخدمة التموين في بورسعيد, بس بصراحة مش زي الأول خالص. كانت بتوفرلك حاجات كتير حلوة وبأسعار معقولة لكن دلوقتي كل الحاجات غالية أوي ومش متوفرة دايما. أتمنى لو يتم تحسينها علشان الناس تقدر تستمتع بيها وتستفيد منها.",مكتب السعادة,بورسعيد
2,"أنا مش راضي على الخدمات اللي بتقدمها الحكومة, لو كنت رئيس هغير كل حاجة تمام! أنا أتكلم هنا باسم الشعب العادي, اللي بيحملوا عبء الفقر والجهل.",مكتب السواني,مطروح
3,"أنا مش راضي على خدمات التموين في المحافظة, هما بيتعملوا بطريقة غلط جدا. احنا بنشتكي منهم كتير بس محدش بيسمعنا. أتمنى لو يتعدل الوضع ده قريب علشان الناس تقدر تعيش حياة كريمة. #تأمين_مصر",مركز طهطا للتغذية,سوهاج
5,"أنا سعيد جدا بالخدمات اللي تقدمها وزارة التضامن الاجتماعي, خاصة برنامج توصيل الطعام للمحتاجين. بفضل هذا البرنامج, الناس بتتأكد أنهم هيتناولوا أكلة كل يوم. ربنا يبارك لكل العاملين فيه وبيحفظهم ويحميهم. #التضامن_مع_المجتمعات_المحلية",مكتب السلام للتوريدات الغذائية,الدقهلية
4,"أنا سعيد جدا بخدمة التموين دي, أنا فعلا معجب بيها جدا لأنها تساعد الناس على توفير الوقت والجهد في الحصول على الطعام اللي محتاجينه. شكرا الحكومة على تقديم مثل ده الخدمات للشعب.",مكتب التعاون الغذائي بالمنوفية,المنوفية
5,"أنا سعيد جدا بخدمة التموين, هي بتتقدم خطوة بخطوة وبتحسن باستمرار, أنا مش عارف ليه الناس بتحبط منها? بس بجد شكرا على المجهود اللي تبذلوه.",المكتبة الثقافية,المنوفية
2,"أنا بجد مش فاهم حاجة! التموين هنا في مرسى مطروح صعب أوي, لازم نبقى بنحاول عشان نحصل على الحاجات الضرورية بتاعتنا. هما ليه محدش بيتكلم? أنا عايز حقي!",مكتب السواني,مطروح
4,"أنا مش راضي تماما على خدمات التموين في المحافظة, رغم أنها كويسة شوية, لكن هناك بعض الأماكن اللي بتأخر فيها كتير أوي.",مكتب خيرنا,الإسماعيلية
5,"أنا سعيد جدا بتلقي هذا التقييم الإيجابي للخدمة التموينية! شكرا جزيلا على دعمكم وتفاعلكم معنا, نحن نعمل بجد لتحسين خدماتنا وجعلها أكثر راحة للجميع. أتمنى لكم يوم رائع.",جمعية الغذاء الصحي,القاهرة
1,"أنا مش راضيه خالص عن خدمات التوزيع دي! أول مرة أروح فيها كانت أسوأ تجربة ممكن, كان فيه نقص شديد في السلع الأساسية والبضائع كلها بقت غالية جدا. أتمنى لو يتحسن الوضع قريبا لأن الناس محتاجة الدعم ده بشكل كبير.",مكتب الأغذية الصحية,البحيرة
1,"إيه اللي بيحصل هنا?! إحنا بنستلم أكل مش طازجه أبدا, وكمان الأسعار بتزيد كل يوم, احنا لازم نعمل حاجه.",مكتب الطعام الصحي مكتب الغذاء الجيد,الجيزة
1,"أنا مش فاهم كويس جدا حاجة اسمها خدمة التموين بس لو هي بتكون زي الخدمات العامة اللي بنحصل عليها من الحكومة, فأنا أحتاجها علشان أقدر أعيش بحياة كريمة وبسيطة.",مكتب التغذية المستدامة,بني سويف
4,"أنا سعيد جدا بالمنتجات الطازجة والوصفات الشهية التي أتلقاها كل شهر, لكن هناك بعض المشكلات الصغيرة مع التوصيل. أحيانا يكون الوقت متأخر جدا وأضطر للانتظار لوقت طويل للحصول على الطعام. ولكن بشكل عام, شكرا جزيلا!",مكتب النهضة,الإسماعيلية
4,"أنا سعيد جدا بأن خدمتي للتوصيل كانت ممتازة! أقدر الوقت الذي قضيته في توصيل طلبي بسرعة وكفاءة. شكرا جزيلا لك يا عزيزي, أتمنى لك يوما سعيدا.",مكتب سمسمة للتوريد,السويس
2,"أنا مش فاهم حاجة, ممكن تشرحلي أكتر?",مكتب التغذية,البحيرة
2,"أنا مش راضي تماما على خدمة التموين دي, لأن أحيانا بيكونوا بيقدمولي حاجات قديمة وباردة ومش طازجة خالص! أنا عايزهم يعملوا لي حاجة جديدة وطازة كل مرة.",مكتبة التغذية,السويس
2,"أنا مش عارفة أحكي إيه عن خدمات التموين في مطروح, بس لو بتقول إني أكتب تعليق على فيسبوك أو تويتر هكتب حاجة بسيطة وبسيطة زي التوصيل متأخر كتير أوي ومش مضمون.",مجلس التعاون الخليجي لخدمات التموين,مطروح
1,"أنا مش فاهم, عايز تقول إيه?",مكتب إمداد الغربية,الغربية
5,"أنا أحب جدا خدمات التموين في الشرقية, لأنها بتوفر لنا كل اللي نحتاجه وبسرعة كبيرة. أنا بشكر الحكومة على المجهود الكبير اللي بيتموه عشان نرتاح ونعيش حياة كريمة.",مكتب التغذية الصحية,الشرقية
1,"أنا مش فاهم الحاجة, عايز تقول إيه?! لو بتكلم صح هقول رأيك بصراحة وبصراحة كده هيبقى تقييمي أعلى من واحد. بس لو بتتكلم على طول ومش عارف تتكلم صح هتكون النتيجة عكسية تماما. يعني مثلا لو كنت بتكتب عن التموين وهتقول أنا بشكر الحكومة على كل اللي بيقدموه لينا ده معناه أنك بتحب الدولة وأنت شايف إن دي حاجة كويسة. لكن لو كان عندك رأي تاني وكنت بتطلع عليه للناس عبر الإنترنت ممكن الناس تش",جمعية دقهليه لتغليف الطعام,الدقهلية
4,"أنا معجب بالخدمة دي أوي, أنا عايش في أسيوط ومش قادر أتكلم عنها بشكل كافي! لكن هي فعلا بتقدم خدمات ممتازة وبتجيب أكل كويس للناس اللي محتاجين.",مكتب أمال,أسيوط
3,"بصراحة, أنا مش راضي خالص على خدمات التموين في المحافظة دي. هي بتبقى بطيئة جدا ومش دايما بتوصل لحد البيت. احنا محتاجين نطورها ونجعلها أسرع وأسرع علشان نقدر نستفيد منها بشكل أفضل.",مكتب الجزيرة,الإسماعيلية
4,"أهلا وسهلا يا شباب, أنا جيس من مصر وبحب أقولكم على تجربة مع خدمة التموين في الجيزة اللي مش حلوة خالص! بصراحة, كل شوية بنشوف حاجات غريبة بتتعلق بيها, مثل نقص المواد الغذائية أو حتى بعض الأوقات بنلاقيها مقطوعة تماما. إحنا محتاجين نصلح الوضع ده ونرجع الثقة للناس إنهم يثقوا فينا ويعطونا فرصة ثانية. شكرا لكم وأتمنى أنكم تستمتعون بقراءتي. تحياتي.",مكتب الطعام الصحي مكتب الغذاء الجيد,الجيزة
5,أنا سعيد جدا بالتغذية المدرسية اللي بتقدمها المحافظة. كل يوم بنشوف الأكل الطازج وبنعرف إننا نأكل صح.,مكتب الطعام الخيري,الإسكندرية
4,"أنا سعيد جدا بمشاركتكم تجربتي مع خدمة التموين في محافظة مرسى مطروح. لقد كانت تجربة رائعة بالفعل, حيث حصلت على الطعام بجودة عالية وبأسعار معقولة للغاية مقارنة بالمطاعم الأخرى. ولكن هناك بعض الأشياء التي يمكن تحسينها مثل توفير المزيد من الخيارات الغذائية والمشروبات المتنوعة للعملاء. أتمنى أن يستمر هذا النوع من الخدمات وأن تصبح أكثر انتشارا في جميع أنحاء مصر. شكرا لكم!",مكتب السواني,مطروح
2,"أهلا يا ريس, أنا مش هقول إنك بتعمل إيه كويس ولا لأ بس ده مجرد رأيي الشخصي لو عايز تسمع رأي الناس الحقيقية حول خدمات التموين في محافظتنا, ممكن تسأل على الفيسبوك أو تويتر?",مكتب الشروق للتوريدات الغذائية,القاهرة
