stars,review,district,governorate,clean_review
1,"أنا مش راضي خالص على الخدمات دي, هي بتعمل أكتر حاجة بتبسط للناس! يعني لو كان فيه اهتمام أكبر وجودة أعلى كانت حصلت تقييم أفضل مني.",اتحاد التموين البحري في المحافظة,البحيرة,أنا مش راضي خالص على الخدمات دي هي بتعمل أكتر حاجة بتبسط للناس يعني لو كان فيه اهتمام أكبر وجودة أعلى كانت حصلت تقييم أفضل مني
1,"أنا مش راضيا تماما على خدمات التموين في الأسكندرية, ده بالرغم إنها مهمة جدا بالنسبة لنا كأهالي المحافظة, لكن الحقيقة هي أنها بعيدة كل البعد عن الجودة والكفاءة المطلوبة. أنا شايف إنه لو الحكومة هتفكر مرة تانية في تطوير الخدمات دي لازم تقسمها إلى أجزاء صغيرة ومحددة عشان نقدر نحقق الاستفادة الكاملة منها.",مكتب الطعام الخيري,الإسكندرية,أنا مش راضيا تماما على خدمات التموين في الأسكندرية ده بالرغم إنها مهمة جدا بالنسبة لنا كأهالي المحافظة لكن الحقيقة هي أنها بعيدة كل البعد عن الجودة والكفاءة المطلوبة أنا شايف إنه لو الحكومة هتفكر مرة تانية في تطوير الخدمات دي لازم تقسمها إلى أجزاء صغيرة ومحددة عشان نقدر نحقق الاستفادة الكاملة منها
4,"أنا سعيد بخدمة التموين دي, لكن بصراحة مش زي قبل كده. كان فيه فرق كبير في جودة الطعام والأسعار, ومش عارفين ليه بتحصل التغييرات ديه. أتمنى أنهم يعملوا حاجة علشان يرجع للأحسن تاني.",مكتب التموين,القاهرة,أنا سعيد بخدمة التموين دي لكن بصراحة مش زي قبل كده كان فيه فرق كبير في جودة الطعام والأسعار ومش عارفين ليه بتحصل التغييرات ديه أتمنى أنهم يعملوا حاجة علشان يرجع للأحسن تاني
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لكن يمكن تحسينها أكثر. حتى الآن هي ممتازة بالنسبة لي ولجميع أهالي المحافظة. أتمنى أنهم يستمرون على هذا المستوى ويحافظوا عليها أفضل وأفضل. شكرا لكم جميعا!",جمعية مركز الخير,قنا,أنا سعيد جدا بخدمة التموين في محافظتنا لكن يمكن تحسينها أكثر حتى الآن هي ممتازة بالنسبة لي ولجميع أهالي المحافظة أتمنى أنهم يستمرون على هذا المستوى ويحافظوا عليها أفضل وأفضل شكرا لكم جميعا
2,"أنا مش راضي خالص على خدمات التموين اللي بنستلمها هنا في المنصورة, لأن الوجبة بتكون غالبا جافة ومش لذيذة أوي. لو كنت رئيس البلدية, هغير النظام كله وأعمل نظام جديد للتغذية المدرسية يكون صحي ومفيد للطلاب.",مكتب الأغذية المتكاملة,الدقهلية,أنا مش راضي خالص على خدمات التموين اللي بنستلمها هنا في المنصورة لأن الوجبة بتكون غالبا جافة ومش لذيذة أوي لو كنت رئيس البلدية هغير النظام كله وأعمل نظام جديد للتغذية المدرسية يكون صحي ومفيد للطلاب
4,"أنا سعيد جدا بهذه الخدمة لأنها تساعدنا على توفير الوقت والجهد ونوفر الكثير من المال بدلا من الذهاب إلى المطاعم كل يوم, لكن هناك بعض الأشياء التي يمكن تحسينها مثل تقديم المزيد من الخيارات الصحية والأكل الصحي. أتمنى لو أنهم يضيفون أيضا خيارات نباتية لأن البعض منا يفضل الأكل النباتي. شكرا جزيلا!",مكتب الغذاء,الدقهلية,أنا سعيد جدا بهذه الخدمة لأنها تساعدنا على توفير الوقت والجهد ونوفر الكثير من المال بدلا من الذهاب إلى المطاعم كل يوم لكن هناك بعض الأشياء التي يمكن تحسينها مثل تقديم المزيد من الخيارات الصحية والأكل الصحي أتمنى لو أنهم يضيفون أيضا خيارات نباتية لأن البعض منا يفضل الأكل النباتي شكرا جزيلا
2,"أنا مش راضي خالص على الخدمات اللي بنحصل عليها هنا في الأسكندرية, خاصة التموين! مش عارفين هنروح فين? كل يوم بيحصل مشاكل جديدة وبقولكم لو فيه أي تغيير حقيقي هيبقى أحسن كتير.",شركة بيست فودز,الإسكندرية,أنا مش راضي خالص على الخدمات اللي بنحصل عليها هنا في الأسكندرية خاصة التموين مش عارفين هنروح فين كل يوم بيحصل مشاكل جديدة وبقولكم لو فيه أي تغيير حقيقي هيبقى أحسن كتير
4,"أنا سعيد جدا بتلقي تقييم إيجابي للخدمة التي قدمتها! أقدر جهودكم المستمرة لتحسين جودة الخدمات المقدمة للمواطنين. شكرا لكم على دعمكم المستمر, وأتطلع إلى تقديم المزيد من التحسينات في المستقبل القريب. تحياتي الحارة للجميع.",مجلس التموين الاجتماعي في البداري,أسيوط,أنا سعيد جدا بتلقي تقييم إيجابي للخدمة التي قدمتها أقدر جهودكم المستمرة لتحسين جودة الخدمات المقدمة للمواطنين شكرا لكم على دعمكم المستمر وأتطلع إلى تقديم المزيد من التحسينات في المستقبل القريب تحياتي الحارة للجميع
3,"أنا مش راضي عن خدمات التموين دي, لأنها دائما متأخرة ومش بتوصل للناس على الوقت المحدد. بنشتكي دايما لكن مفيش فايدة. أتمنى أنهم يقدروا الناس اللي بيحتاجوا الدعم ده ويحسنوا الخدمات.",مكتب الرابطة الغذائية,البحيرة,أنا مش راضي عن خدمات التموين دي لأنها دائما متأخرة ومش بتوصل للناس على الوقت المحدد بنشتكي دايما لكن مفيش فايدة أتمنى أنهم يقدروا الناس اللي بيحتاجوا الدعم ده ويحسنوا الخدمات
4,"أنا سعيد جدا بتلقي تقييم جيد للخدمة التموينية! أقدر المجهود المبذول لتحسين جودة الطعام والخدمة. أتمنى الاستمرار على هذا النهج لأنكم أهل الخير والعطاء, وأنا متأكد أنكم ستقدمون المزيد والمزيد من الخدمات الرائعة لشعب مصر العظيم. شكرا جزيلا لكم. #الشرقية_تحب_مصر",الجمعية التعاونية للتوريدات الغذائية,الشرقية,أنا سعيد جدا بتلقي تقييم جيد للخدمة التموينية أقدر المجهود المبذول لتحسين جودة الطعام والخدمة أتمنى الاستمرار على هذا النهج لأنكم أهل الخير والعطاء وأنا متأكد أنكم ستقدمون المزيد والمزيد من الخدمات الرائعة لشعب مصر العظيم شكرا جزيلا لكم الشرقيةتحبمصر
3,"أنا مش عارف أقول إيه على الخدمه دي, بس أكيد مش كويسة! الناس بتستغيث وبيشوفوا الحاجات اللي بنحتاجها بيتم تأخيرها كتير أوي! لازم الحكومة تعمل حاجة عشان الناس تروح عالخدمة بأمان وبسرعة!",مكتب نور,أسيوط,أنا مش عارف أقول إيه على الخدمه دي بس أكيد مش كويسة الناس بتستغيث وبيشوفوا الحاجات اللي بنحتاجها بيتم تأخيرها كتير أوي لازم الحكومة تعمل حاجة عشان الناس تروح عالخدمة بأمان وبسرعة
5,"أنا سعيد جدا بالخدمة اللي قدمتها وزارة التموين في محافظتنا, إنها ممتازة بكل المقاييس! كل الحاجات بتوصللي بسرعة وفي الوقت المناسب وبالكمية المطلوبة بالضبط. شكرا جزيلا لكم على هذا المجهود الرائع. #وزارة_التموين #البحيرة",مكتب التغذية,البحيرة,أنا سعيد جدا بالخدمة اللي قدمتها وزارة التموين في محافظتنا إنها ممتازة بكل المقاييس كل الحاجات بتوصللي بسرعة وفي الوقت المناسب وبالكمية المطلوبة بالضبط شكرا جزيلا لكم على هذا المجهود الرائع وزارةالتموين البحيرة
4,"أنا راضية جدا على الخدمة اللي بيقدموها, لكن كان يمكن أحسن شوية. الأسعار مرتفعة شوية مقارنة بالأماكن الأخرى.",مكتب الرابطة,بني سويف,أنا راضية جدا على الخدمة اللي بيقدموها لكن كان يمكن أحسن شوية الأسعار مرتفعة شوية مقارنة بالأماكن الأخرى
1,"أنا مش راضي خالص على الخدمات دي, كل اللي بتقدموه هنعمل نفسنا بنأكل من القمامة!",مجلس التعاون الخليجي للتغذية,الإسكندرية,أنا مش راضي خالص على الخدمات دي كل اللي بتقدموه هنعمل نفسنا بنأكل من القمامة
2,"أنا مش راضي خالص على خدمات التموين في الأسكندرية, دا لو كان فيه أي تحسينات هتبقى مستحيلة. أنا بحاول أحسن الوضع بس مش قادر, كل يوم بيحصل مشاكل جديدة ومفيش التزام بالمواعيد ولا جودة في الخدمات.",مكتب الطعام الخيري,الإسكندرية,أنا مش راضي خالص على خدمات التموين في الأسكندرية دا لو كان فيه أي تحسينات هتبقى مستحيلة أنا بحاول أحسن الوضع بس مش قادر كل يوم بيحصل مشاكل جديدة ومفيش التزام بالمواعيد ولا جودة في الخدمات
5,"أنا سعيد جدا بالخدمات التموينية اللي بنحصل عليها في محافظتنا, فهي بتقدم لنا كل الحاجات اللي احنا محتاجينها وباسعار ممتازة كمان. أنا بشكر الحكومة على المجهود الكبير اللى بيتموه لينا.",جمعية الواحة للتغذية,السويس,أنا سعيد جدا بالخدمات التموينية اللي بنحصل عليها في محافظتنا فهي بتقدم لنا كل الحاجات اللي احنا محتاجينها وباسعار ممتازة كمان أنا بشكر الحكومة على المجهود الكبير اللى بيتموه لينا
2,"يا جماعة, أنا عاوز أقول لكم إني تجربة خدمة التموين في الجيزة وكانت مخيبة للآمال جدا. مش عارفين ليه كل مرة أكون فاكرهم بيعملوا شغل كويس, لكن للأسف ده ماحدث. كانوا بيقدمولنا أكله قديمة ومتعفن ومش طازجه ولا حتى مغلفه بشكل صحيح. كان ممكن يعملوها أحسن بكتير! هقولكم إيه? لازم نغير الطريقة اللي بنعمل بيها الأكل ونركز على الجودة أكثر من الكمية لأن كده إحنا بنظلم نفسينا",مكتب خير زمان,الجيزة,يا جماعة أنا عاوز أقول لكم إني تجربة خدمة التموين في الجيزة وكانت مخيبة للآمال جدا مش عارفين ليه كل مرة أكون فاكرهم بيعملوا شغل كويس لكن للأسف ده ماحدث كانوا بيقدمولنا أكله قديمة ومتعفن ومش طازجه ولا حتى مغلفه بشكل صحيح كان ممكن يعملوها أحسن بكتير هقولكم إيه لازم نغير الطريقة اللي بنعمل بيها الأكل ونركز على الجودة أكثر من الكمية لأن كده إحنا بنظلم نفسينا
4,"أنا سعيد جدا بتقديم خدمات التموين الممتازة في محافظة كفر الشيخ! أقدر كل الجهود المبذولة لتقديم وجبات صحية ولذيذة لكل الأسر المتعففة, ربنا يبارك فيكم ويبارك جهودكم. شكرا لكم على جعل حياتنا أسهل وأريحية.",مكتب نور الخير,كفر الشيخ,أنا سعيد جدا بتقديم خدمات التموين الممتازة في محافظة كفر الشيخ أقدر كل الجهود المبذولة لتقديم وجبات صحية ولذيذة لكل الأسر المتعففة ربنا يبارك فيكم ويبارك جهودكم شكرا لكم على جعل حياتنا أسهل وأريحية
