stars,review,district,governorate,clean_review,predicted_sentiment
1,"أنا مش عارفة أعمل إيه, لكن ده رأيي في الموضوع. أنا لم أستفد بأي شيء من الخدمة دي, وبصراحة كانت تجربة مريرة بالنسبة لي. أتمنى لو كان فيه تطوير وتحسين على مستوى المحافظة كلها وليس فقط منطقة واحدة.",جمعية غذاء الحياة,السويس,أنا مش عارفة أعمل إيه لكن ده رأيي في الموضوع أنا لم أستفد بأي شيء من الخدمة دي وبصراحة كانت تجربة مريرة بالنسبة لي أتمنى لو كان فيه تطوير وتحسين على مستوى المحافظة كلها وليس فقط منطقة واحدة,Neutral
5,"أنا سعيد جدا بتقديم خدمات التموين الممتازة في محافظة كفر الشيخ! لقد كانت تجربة رائعة وأقدر كل الدعم الذي أتلقاه من الحكومة المحلية. أتمنى لهم التوفيق والنجاح المستمر, والله يبارك فيهم ويوفقهم لما فيه خير البلاد والعباد.",مكتب نور الخير,كفر الشيخ,أنا سعيد جدا بتقديم خدمات التموين الممتازة في محافظة كفر الشيخ لقد كانت تجربة رائعة وأقدر كل الدعم الذي أتلقاه من الحكومة المحلية أتمنى لهم التوفيق والنجاح المستمر والله يبارك فيهم ويوفقهم لما فيه خير البلاد والعباد,Positive
4,"أنا راني بتكلم على خدمات التموين في المنيا, والله العظيم هي دي الحقيقة! أنا مش عارف كيف ممكن يكون تقييمي لخدمتهم أربعة من خمسة? يعني إيه ده? كل مرة بنروح هناك احنا لازم نتعرض للتعذيب! الحاجات اللي بيقدموها ناقصة كتير جدا ولا حتى تقدر ترضي حد! ربنا يريحنا من كده!",مكتب نور الحياة,المنيا,أنا راني بتكلم على خدمات التموين في المنيا والله العظيم هي دي الحقيقة أنا مش عارف كيف ممكن يكون تقييمي لخدمتهم أربعة من خمسة يعني إيه ده كل مرة بنروح هناك احنا لازم نتعرض للتعذيب الحاجات اللي بيقدموها ناقصة كتير جدا ولا حتى تقدر ترضي حد ربنا يريحنا من كده,Positive
4,"أنا سعيد جدا بالخدمة النهاردة, لكن فيها بعض الأخطاء البسيطة اللي محتاجة تتحسن. الحمد لله على كل حال, وأرجو أنهم يقدروا مجهودنا ويبذلوا جهد أكبر علشان الناس تقدر تستمتع بالخدمات دي بشكل أفضل. شكرا لكم جميعا!",مكتب جمعية التغذية الصحية,سوهاج,أنا سعيد جدا بالخدمة النهاردة لكن فيها بعض الأخطاء البسيطة اللي محتاجة تتحسن الحمد لله على كل حال وأرجو أنهم يقدروا مجهودنا ويبذلوا جهد أكبر علشان الناس تقدر تستمتع بالخدمات دي بشكل أفضل شكرا لكم جميعا,Positive
1,"أنا مش راضي على الخدمات التموينية اللي بنحصل عليها, هما بتعملوا حاجات كتير غلط وعشان كده بنعطيها واحدة من خمسة!",مكتب الرابطة التعاونية لتنمية الريف,المنوفية,أنا مش راضي على الخدمات التموينية اللي بنحصل عليها هما بتعملوا حاجات كتير غلط وعشان كده بنعطيها واحدة من خمسة,Negative
4,"بصراحة, أنا مش راضيا على خدمة التموين في البحيرة. دايما بنلاقي مشاكل مع التوصيل وبقالنا كتير وقت نبقى ندور على الحاجات اللي احنا محتاجينها. أتمنى أنهم يصححوا الأمور ويوصلوا الطلبات بالشكل الصحيح.",جمعية سندس للمطابخ,البحيرة,بصراحة أنا مش راضيا على خدمة التموين في البحيرة دايما بنلاقي مشاكل مع التوصيل وبقالنا كتير وقت نبقى ندور على الحاجات اللي احنا محتاجينها أتمنى أنهم يصححوا الأمور ويوصلوا الطلبات بالشكل الصحيح,Positive
1,"أنا مش راضي تماما على خدمة التموين في الأسكندرية, هما بيقدموا أكله كويس بس مفيش تنظيم ولا احترام للناس اللي بتنتظر لساعات طويلة. أنا بحاول أحسن الوضع لكن لسه مش عارف هعمل ايه.",مجلس التعاون الخليجي للتغذية,الإسكندرية,أنا مش راضي تماما على خدمة التموين في الأسكندرية هما بيقدموا أكله كويس بس مفيش تنظيم ولا احترام للناس اللي بتنتظر لساعات طويلة أنا بحاول أحسن الوضع لكن لسه مش عارف هعمل ايه,Negative
4,"أنا سعيد جدا بتلقي هذا النوع من التعليقات الإيجابية حول خدمة التوصيل في الأسكندرية! أعتقد أنها أصبحت أفضل بكثير خلال الأشهر القليلة الماضية, وأشعر بالسعادة عندما أسمع أنه يتم تحسينها باستمرار. شكرا جزيلا على وقتك وصبرك, وأتطلع إلى سماع المزيد من الأفكار والاقتراحات لتحسين تجربتنا للجميع.",مكتب الخير,الإسكندرية,أنا سعيد جدا بتلقي هذا النوع من التعليقات الإيجابية حول خدمة التوصيل في الأسكندرية أعتقد أنها أصبحت أفضل بكثير خلال الأشهر القليلة الماضية وأشعر بالسعادة عندما أسمع أنه يتم تحسينها باستمرار شكرا جزيلا على وقتك وصبرك وأتطلع إلى سماع المزيد من الأفكار والاقتراحات لتحسين تجربتنا للجميع,Positive
2,"أنا مش راضي تماما على خدمة التموين هنا في القاهرة, بقالنا سنة ونص بنحاول نحصل عليها ونخلص كل الأوراق المطلوبة بس للأسف هيما بيحصل مشاكل كتير ومش دايما بيكون متوفر. أتمنى لو يتم تحسينها عشان الناس اللي محتاجينها بجد تقدر تستلمها بسهولة وبدون أي تأخير.",مجلس التعاون الخليجي للغذاء,القاهرة,أنا مش راضي تماما على خدمة التموين هنا في القاهرة بقالنا سنة ونص بنحاول نحصل عليها ونخلص كل الأوراق المطلوبة بس للأسف هيما بيحصل مشاكل كتير ومش دايما بيكون متوفر أتمنى لو يتم تحسينها عشان الناس اللي محتاجينها بجد تقدر تستلمها بسهولة وبدون أي تأخير,Negative
3,"أنا عايز أقول لك إنك بتقدم خدمة ممتازة, بس لازم تاخد بالك من الأخطاء الصغيرة اللي بتحصل كل فترة. لو عملت كده حتكون أحسن.",مركز طهطا للتغذية,سوهاج,أنا عايز أقول لك إنك بتقدم خدمة ممتازة بس لازم تاخد بالك من الأخطاء الصغيرة اللي بتحصل كل فترة لو عملت كده حتكون أحسن,Positive
