stars,review,district,governorate
1,"أنا مش راضي على خدمات التموين في الأسكندرية, لأنهم دايما يتأخرون في توصيل الطلبات, وبصراحة الموضوع بيضيع وقتي وجيبي!",مكتب الخير للإمداد,الإسكندرية
1,"أنا مش عارف ليه الناس بتكره التموين ده! أمال لو كنت رئيس مصر, هغير نظام التموين خالص وأعمله أحسن بكتير. كل اللي عايزين ناس مطروح يعملوه إنهم يصوتوا على هذا الاقتراح علشان يبقى فيه تغيير حقيقي.",مجلس التعاون الخليجي لخدمات التموين,مطروح
4,"أنا سعيد جدا بتلقي التغذية المدرسية, لكن المشكلة الوحيدة هي أنه دائما متأخر شوية ولا يوجد ضمان أنها هتبقى طازجة كل يوم! أتمنى أنهم يقدرون الوقت اللي بنستعمله ويحافظوا على الجودة عشان نقدر نستمتع بالوجبة دي مع صحتنا! #تنمية_مستدامة",مؤسسة الطعام الصحي,القاهرة
4,"أنا راض جدا على خدمة التموين, لأنها تساعدنا كتير أوي في الحياة اليومية. أنا بشكر الحكومة اللي عملت كده وأرجو أنهم يستمروا يعملوها.",مكتب الشروق للغذاء,القاهرة
2,"أنا مش عارف أحكي أيه, لكن ممكن أقول إن خدمات التموين دي محتاجة تطوير كبير عشان نقدر نثق فيها ونقدر نستفيد منها حقنا.",جمعية دقهليه لتغليف الطعام,الدقهلية
5,"أنا سعيد جدا بالخدمات اللي بتقدمها الحكومة المصرية, خاصة برنامج التموين في محافظتنا, أسيوط. بصراحة, هي أفضل حاجة بيحصل لي ولغيري من المواطنين البسطاء. ربنا يبارك فيكم ويبارك في جهودكم علشان نستفيد كلنا منها. شكرا جزيلا لكم! #مصر_تحب_الرئيس_السيسي",مكتب الأعمال الغذائية,أسيوط
2,"يا جماعة, أنا عاوز أقولكم إني بتكلم عن خدمة التموين في الشرقيه وعشان أكون واضح, مش هقول أي حاجة سلبية بس هي فعلا تستحق تقييم خمس نجوم لو كانت موجودة بشكل صحيح. المشكلة الوحيدة اللي احنا بنواجهها دلوقتي هي التأخير المستمر وعدم الالتزام بالمواعيد المحددة للتوصيل. ده يعني إننا لازم نبقى قاعدين ف البيت طول اليوم منتظرين التوصيل ولو حصل وأخدنا حاجاتنا قبل الموعد المحدد, يبقى عندنا الحق نطالب بالعدل والشفافية في التعامل مع العملاء. أتمنى أنهم",مكتب التغذية الصحية,الشرقية
4,"أنا سعيد جدا بالخدمة اللي بتقدمها, بس لو كانت أفضل شوية كان ممكن أكون راضيا عنها تماما. أنا مش عارف هي دي الحقيقة ولا لأ, لكن بصراحة, الحاجة هنا محتاجة تطوير كبير.",المكتب المصري لتوريد الأغذية,الغربية
2,"أنا مش راضيه جدا على خدمة التموين هنا في السويس, احنا محتاجين نطورها ونقدم لها دعم أكبر عشان نقدر نستفيد منها بشكل أفضل.",جمعية الشروق,السويس
4,"أنا سعيد جدا بتقديم خدمتي للمواطنين المصريين في المنصورة. لقد كنت أعمل بجد لتحسين جودة الطعام الذي نقدمه والتأكد من أنه يلبي توقعاتكم. شكرا لكم على تقييمنا بشكل إيجابي وأتمنى منكم الاستمرار في دعمنا. مع أطيب التحيات, موظف التوصيل",مكتب التموين,الدقهلية
