stars,review,district,governorate,clean_review
1,أنا مش فاضي أشرب كوباية شاي على الإفطار ولا حتى أكل فطيرة! كل يوم بتصل بخدمة التموين وبشوف الناس اللي بيتناولوا الأكل وهم بيقعدوا في الطابور ساعات طويلة عشان ياخدوا وجبة واحدة! ليه بنعمل كده? ده لو كان فيه محاسبة على الأداء كنت أطالب بإقالة المسؤولين فورا.,مكتب غذاء,القاهرة,أنا مش فاضي أشرب كوباية شاي على الإفطار ولا حتى أكل فطيرة كل يوم بتصل بخدمة التموين وبشوف الناس اللي بيتناولوا الأكل وهم بيقعدوا في الطابور ساعات طويلة عشان ياخدوا وجبة واحدة ليه بنعمل كده ده لو كان فيه محاسبة على الأداء كنت أطالب بإقالة المسؤولين فورا
1,"أنا مش راضي خالص على خدمات التوزيع دي, هي فظيعة ومش بتقدم حاجة! الأسعار غالية والطعام مفيهوش طعم ولا صحة وأنا مش عاوزة أشوف الناس اللي بياكلوا منه بيتعوجوا ولا حتى يقرفوا. لازم الحكومة تغير طريقة توزيع الطعام عشان نقدر نأكل كويس ونعيش حياة كريمة. #التموين_المصري #المنيا",الجمعية المصرية لخدمات التموين,المنيا,أنا مش راضي خالص على خدمات التوزيع دي هي فظيعة ومش بتقدم حاجة الأسعار غالية والطعام مفيهوش طعم ولا صحة وأنا مش عاوزة أشوف الناس اللي بياكلوا منه بيتعوجوا ولا حتى يقرفوا لازم الحكومة تغير طريقة توزيع الطعام عشان نقدر نأكل كويس ونعيش حياة كريمة التموينالمصري المنيا
5,"أنا سعيد جدا بخدمة التموين في محافظة الجيزة! إنها فعلا ممتازة, فطورهم لذيذ وبأسعار معقولة. شكرا لكم على تقديم مثل هذا الخدمة الرائعة للمواطنين المصريين. #خدمة_التموين #الجيزة",مكتب الطعام الصحي مكتب الغذاء الجيد,الجيزة,أنا سعيد جدا بخدمة التموين في محافظة الجيزة إنها فعلا ممتازة فطورهم لذيذ وبأسعار معقولة شكرا لكم على تقديم مثل هذا الخدمة الرائعة للمواطنين المصريين خدمةالتموين الجيزة
5,"أنا سعيد جدا بالمنتجعات اللي بنحصل عليها خلال برنامج التموين, ده يعتبر حاجة ضرورية بالنسبة لينا عشان نقدر ناكل ونعيش حياة كريمة. ربنا يبارك لكل العاملين في البرنامج ويوفقهم.",جمعية ساقية الساحل,مطروح,أنا سعيد جدا بالمنتجعات اللي بنحصل عليها خلال برنامج التموين ده يعتبر حاجة ضرورية بالنسبة لينا عشان نقدر ناكل ونعيش حياة كريمة ربنا يبارك لكل العاملين في البرنامج ويوفقهم
1,"أنا مش فاهم ليه الناس بتكره خدمة التموين دي! هي المفروض تساعدنا بدل ما تعنينا. لو كانوا بيعملوا شغلهم كويس, كان ممكن نخلص من الطوابير الطويلة ونوفر الوقت والجهد اللي بنفقها كل يوم عشان نلحق نشتري حاجاتنا قبل الغروب. أتمنى أنهم يغيروا رأيهم ويفكروا فينا مرة واحدة.",جمعية بيسترو للطعام,البحيرة,أنا مش فاهم ليه الناس بتكره خدمة التموين دي هي المفروض تساعدنا بدل ما تعنينا لو كانوا بيعملوا شغلهم كويس كان ممكن نخلص من الطوابير الطويلة ونوفر الوقت والجهد اللي بنفقها كل يوم عشان نلحق نشتري حاجاتنا قبل الغروب أتمنى أنهم يغيروا رأيهم ويفكروا فينا مرة واحدة
3,"أنا مش راضيا على خدمات التموين في المحافظة دي, لأنها بتبقى سيئة جدا ومفتعلة! كل مرة بتيجي هنا, بنشوف الحاجات بتتغير وبتبقي مختلفة تماما عما كتبناه قبل كده. احنا محتاجين نخلص من الفساد ده ونرجع الأمور لطبيعتها الأصلية.",مكتب التغذية,البحيرة,أنا مش راضيا على خدمات التموين في المحافظة دي لأنها بتبقى سيئة جدا ومفتعلة كل مرة بتيجي هنا بنشوف الحاجات بتتغير وبتبقي مختلفة تماما عما كتبناه قبل كده احنا محتاجين نخلص من الفساد ده ونرجع الأمور لطبيعتها الأصلية
1,"أنا مش راضيا على الخدمات دي خالص! بنينا بلدنا عشان نتنفس, لكن دلوقتي احنا عايشين عيشة الحيوانات. بتاخد مننا فلوس كتير جدا وبتعملنا مشاكل صحية كمان. لازم نوقفها ونرجع لحياتنا الطبيعية تاني. #بوحيرة_تنتفض",المبادرة الغذائية,البحيرة,أنا مش راضيا على الخدمات دي خالص بنينا بلدنا عشان نتنفس لكن دلوقتي احنا عايشين عيشة الحيوانات بتاخد مننا فلوس كتير جدا وبتعملنا مشاكل صحية كمان لازم نوقفها ونرجع لحياتنا الطبيعية تاني بوحيرةتنتفض
1,"أنا مش راضي خالص عن جودة الأكل اللي بنحصل عليه من خلال برنامج التوزيع, لأن معظم الحاجات بتكون قديمة وحارة جدا وبتشعرنا بالإحباط. لو كان فيه رقابة أفضل على الجودة والحاجات الجديدة, كانت حتبقى تجربة أحسن بالنسبة لينا كلنا.",اتحاد الغذاء الصحي,الإسكندرية,أنا مش راضي خالص عن جودة الأكل اللي بنحصل عليه من خلال برنامج التوزيع لأن معظم الحاجات بتكون قديمة وحارة جدا وبتشعرنا بالإحباط لو كان فيه رقابة أفضل على الجودة والحاجات الجديدة كانت حتبقى تجربة أحسن بالنسبة لينا كلنا
4,"أنا سعيد جدا بالمنتجات الطازجة التي أتلقاها كل شهر من برنامج الدعم الغذائي. لكن للأسف, بعض المنتجات قد وصلت تالفة. أتمنى أنهم يعتذروا لي ويعيدون لي القيمة الكاملة للمنتجات التالفة.",اتحاد الغذاء الصحي,الإسكندرية,أنا سعيد جدا بالمنتجات الطازجة التي أتلقاها كل شهر من برنامج الدعم الغذائي لكن للأسف بعض المنتجات قد وصلت تالفة أتمنى أنهم يعتذروا لي ويعيدون لي القيمة الكاملة للمنتجات التالفة
5,"أنا سعيد جدا بتلقي خدمات التموين في محافظتنا بالدقهلية. لقد كانت تجربة رائعة بالنسبة لي وأتطلع إلى المزيد منها! شكرا جزيلا على هذا التقييم الرائع, وأتمنى للجميع يوم جميل وسعيد.",مكتب الأغذية الصحية,الدقهلية,أنا سعيد جدا بتلقي خدمات التموين في محافظتنا بالدقهلية لقد كانت تجربة رائعة بالنسبة لي وأتطلع إلى المزيد منها شكرا جزيلا على هذا التقييم الرائع وأتمنى للجميع يوم جميل وسعيد
