stars,review,district,governorate,clean_review,predicted_sentiment
2,"بصراحة, أنا مش راضي على خدمات التموين في المحافظة دي خالص! مفيش اهتمام حقيقي بالناس اللي محتاجين الدعم ده.",جمعية غذاء,سوهاج,بصراحة أنا مش راضي على خدمات التموين في المحافظة دي خالص مفيش اهتمام حقيقي بالناس اللي محتاجين الدعم ده,Negative
3,"أنا مش راضي على مستوى الخدمة, دي حاجة أساسية للمواطنين ولازم يتحسنوا.",مكتب غذاء البحيرة,البحيرة,أنا مش راضي على مستوى الخدمة دي حاجة أساسية للمواطنين ولازم يتحسنوا,Negative
4,"أنا سعيد جدا لخدمة التموين في المحافظة الغربية, لأنها توفر لنا كل احتياجاتنا اليومية بسعر معقول. ولكن أحيانا بعض الأشياء تاخد وقت أطول من اللازم, لكن على العموم هي ممتازة وتستحق التقدير. تحياتي للجميع.",المكتب المصري لتوريد الأغذية,الغربية,أنا سعيد جدا لخدمة التموين في المحافظة الغربية لأنها توفر لنا كل احتياجاتنا اليومية بسعر معقول ولكن أحيانا بعض الأشياء تاخد وقت أطول من اللازم لكن على العموم هي ممتازة وتستحق التقدير تحياتي للجميع,Positive
2,"أنا مش فاهم الكلام ده كويس, بس لو عايز تقولي رأي في أي شيء آخر, ممكن أجاوب عليه!",مكتب الطعام الخير,البحيرة,أنا مش فاهم الكلام ده كويس بس لو عايز تقولي رأي في أي شيء آخر ممكن أجاوب عليه,Neutral
1,"أنا مش عارف أتكلم على الموضوع ده, لكن أظن أنه محتاج تغيير كبير علشان يبقى أفضل!",مؤسسة الغذاء الصحي بالقاهرة,القاهرة,أنا مش عارف أتكلم على الموضوع ده لكن أظن أنه محتاج تغيير كبير علشان يبقى أفضل,Neutral
1,"أنا مش عارفة أحكي حاجة إيجابية عن خدمات التموين في بورسعيد, هي كده ببساطة! كل يوم بنشوف حاجات كتير غلط ومش فاهمة ليه محدش بيتعامل معاها. الناس بتقول إن الحكومة مبتحباش تاخد خطوة وتعالجها, لكن إحنا كمان لازم نتصرف ونحاول نعمل تغيير للأحسن.",مكتب السعادة,بورسعيد,أنا مش عارفة أحكي حاجة إيجابية عن خدمات التموين في بورسعيد هي كده ببساطة كل يوم بنشوف حاجات كتير غلط ومش فاهمة ليه محدش بيتعامل معاها الناس بتقول إن الحكومة مبتحباش تاخد خطوة وتعالجها لكن إحنا كمان لازم نتصرف ونحاول نعمل تغيير للأحسن,Negative
5,"أنا سعيد جدا بخدمة التموين في المحافظة الشرقية! هي ممتازة بالفعل, مش عارفين نقدر ندين بيها كل الخير اللي بنستفيد منه. شكرا جزيلا على تقديم مثل تلك الخدمات الرائعة للمواطنين.",مكتب التموين,الشرقية,أنا سعيد جدا بخدمة التموين في المحافظة الشرقية هي ممتازة بالفعل مش عارفين نقدر ندين بيها كل الخير اللي بنستفيد منه شكرا جزيلا على تقديم مثل تلك الخدمات الرائعة للمواطنين,Positive
5,"بجد خدمتك حلوة أوي, أنا مش عارف ازاي أقدر أحييكم على كده, بس لو ممكن تبقي أحسن وأسرع فأنا هتقدر أكتر عليها.",مكتب نور الحياة,المنيا,بجد خدمتك حلوة أوي أنا مش عارف ازاي أقدر أحييكم على كده بس لو ممكن تبقي أحسن وأسرع فأنا هتقدر أكتر عليها,Positive
4,"أنا سعيد جدا لأننى حصلت على خدمة التموين فى بور سعيد, لكن للأسف مش كل مرة تحصل عليها تعمل كويس. كان ممكن يكون التقييم أعلى لو كانت أحسن من كده بكثير. أتمنى أنهم يعملوا حاجة لتحسينها.",مؤسسة الغذاء الصحي,بورسعيد,أنا سعيد جدا لأننى حصلت على خدمة التموين فى بور سعيد لكن للأسف مش كل مرة تحصل عليها تعمل كويس كان ممكن يكون التقييم أعلى لو كانت أحسن من كده بكثير أتمنى أنهم يعملوا حاجة لتحسينها,Positive
2,"أنا مش راضي خالص عن خدمة التوزيع دي, احنا بنستناها طول اليوم وفي النهاية لما يجي الدور على بيتنا, بقالينا حوالي شهر لحد دلوقتي لم يصلوا لنا أي شيء! أنا عايزة اعرف ليه كده?",مكتب التغذية المثالية,السويس,أنا مش راضي خالص عن خدمة التوزيع دي احنا بنستناها طول اليوم وفي النهاية لما يجي الدور على بيتنا بقالينا حوالي شهر لحد دلوقتي لم يصلوا لنا أي شيء أنا عايزة اعرف ليه كده,Negative
