stars,review,district,governorate
1,"يا جماعة, أنا عايز أقولكم حاجة عني خدمة التوزيع دي. بصراحة مش عارفة أتكلم عنها, لأن كل اللي بيحصل ده هيبطلنا ناكل ولا نشرب! الأسعار ارتفعت والنظافة كمان اختفت من الشوارع. احنا محتاجين نعمل ثورة على النظام كله.",جمعية مطبخ التحرير,القاهرة
3,"أنا مش راضي على خدمتكم يا بتوع التموين, حتى لو كانت فايف نجوم, إحنا محتاجين أفضل بكتير.",مجلس التموين الاجتماعي في البداري,أسيوط
4,"أنا سعيد جدا بخدمة التموين في المحافظة الغربية, لأنها توفر لنا الطعام بسهولة ويسر. لكن أعتقد أنها تحتاج إلى تحسينات أكثر حتى تصبح أفضل.",مكتب الأغذية الصحي,الغربية
4,"أنا سعيد جدا بتلقي تعليقاتكم حول الخدمات المختلفة التي نقدمها لكم. يسعدنا دائما الاستماع إلى ملاحظاتكم واقتراحتكم لتحسين خدماتنا وتقديم الأفضل لكم. شكرا جزيلا على وقتكم واهتمامكم, ونتطلع لسماع المزيد منكم قريبا.",مكتب الرابطة,بني سويف
4,"أنا بعتقد إن خدمة التموين دي محتاجة تطوير كبير عشان نقدر نستفيد منها حقنا, لأن دلوقتي مش بنقدر ناخد اللي احنا عايزينه ولا حتى نشتري الحاجات الأساسية, والأكل نفسه بيكون وحش.",مكتب الرابطة الغذائية,البحيرة
1,"أنا مش راضيين عن خدمات التموين في محافظتنا, احنا بنشتكي دايما لكن محد بيسمعنا! لازم الحكومة تغير الطريقة اللي بتعاملوا بيها معانا عشان نقدر نعيش براحتنا.",مؤسسة هناء للضيافة,القاهرة
1,"أنا مش راضي خالص عن خدمة التموين, رغم أنها كانت كويسة شوية أول الشهر اللي فات, لكن دلوقتي مفيش حاجة! يعني إيه بنجيب الطعام ونروح نرفزة ولا نزود وزننا كمان? دي مشكلة حقيقية يا جماعة! أتمنى لو يتحسن الوضع قريب, لأن الناس هنا بتعمل مجهود كبير علشان توفر لينا الأكل كل يوم.",مكتب جمعية نور,القاهرة
2,"أنا مش عارف أقول إيه على خدمات التموين, هما دايما يتأخرون والناس بتتضايق منهم ومش عارفين يعملوا حاجة صح! أتمنى لو الحكومة تقدر تحسن الوضع وتتعامل مع الموضوع بجدية أكثر.",مكتب غذاء المحافظة,الدقهلية
3,"عايزة أقول لكم, خدمات التموين في الأسكندرية مش كويسة خالص! أنا بتعامل معاهم لمدة سنة دلوقتي ولسة مفيش تحسن ملحوظ. الأكل دايما بارد ومش طازج زيما المفروض يكون, والأكل نفسه متين أوي ولا طعمه حلو أبدا. ده غير أنهم دائما متأخرون عن الموعد المحدد للتوصيل, وأنا بشوف ناس كتير زعلانين على الأرصفة بسببهم.",الجمعية التعاونية للطعام الصحي,الإسكندرية
1,"أنا مش راضي تماما على الخدمات اللي بتقدمها الحكومة, خاصة لو نتكلم عن خدمات التموين في محافظة مرسى مطروح. أنا بحاول أحسن الوضع بس لازم يكونوا اكتر مسؤولية. إحنا بنشتغل بجد عشان نعيش ونقدر نأكل كويس لكن الحاجات دي لازم تتحسن.",مكتب الأغذية الصحي لمطروح,مطروح
5,"أنا سعيد جدا بخدمة التموين في الجيزة, لأنها توفر لنا الأكل والشرب اللي احنا محتاجين ليه. الحمد لله على نعمة الأمن والأمان. شكرا جزيلا لكم جميعا! #خدمة_التموين_في_الجيزة",اتحاد مطبخ الحياة,الجيزة
1,"أنا مش فاهم الموضوع كويس, بس هقول اللي أعرفه. أنا أعطيت التموين تقييم واحد من خمس نجوم لأن الناس بتاخد منه حاجات كتير زي الفل وبتعمل مشاكل. لو كنت مكان الحكومة, كان لازم نغير النظام ونبسط للناس علشان يعرفوا قيمة الحاجات اللي بيتمنوها.",مكتب نور الخير,كفر الشيخ
5,"أنا سعيد جدا بالخدمة اللي قدمتها الحكومة للتضامن الاجتماعي, فعلا حاجة حلوة أننا نقدر ندعم بعض ونعمل معا عشان الناس اللي محتاجة. شكرا لكم جميعا على الجهود الرائعة!",مكتب الطيبات,دمياط
2,"أنا مش راضي على خدمات التموين في الغردقه, هما بيقدموا أكله متعفن ومش طازج! لازم يتحاسبوا على كده!",المكتب المصري لتوريد الأغذية,الغربية
1,"أنا مش عارف أقول إيه على خدمة التوصيل دي! أخدت واحد ومفيش حسد ولا فخر, يعني بتعب وبتحصل مشاكل كتير ومش راضيين يدفعوا حق اللي بنعمله. ده لو كان فيه أي احترام أصلا. إحنا محتاجين نغير النظام ونرجع الثقة للناس تاني. #مش_عشان_الفول_نصف_طازج",مكتب سحور رمضان,القاهرة
4,"أنا حبيت جدا برنامج توزيع الطعام ده, بس فيه مشكلة صغيرة أنه أحيانا بيبقى متأخر أوي. لكن بشكل عام, أنا راضي عنه.",مكتب التموين السعيد,الإسكندرية
5,"أنا سعيد جدا بالخدمات المقدمة في المحافظة, خاصة برنامج التغذية المدرسية الذي يساعد على تغذية الأطفال وتعليمهم بطريقة صحيحة. شكرا لكم!",مكتب التعاون الغذائي بالمنوفية,المنوفية
5,"أنا سعيد جدا بخدمة التموين اللي قدمتها لمحافظة أسيوط, لأنها كانت فعلا ممتازة ومش جاية بالسهولة دي! كل الحاجات المطلوبة وصلتلي بطريقة منظمة ومريحة جدا. شكرا على الاهتمام والدعم المستمر.",جمعية السلام للضيافة,أسيوط
